SerialNo,QRText,QRValue
0000060,A1452454054,6780516041166849
0000061,A1333767411,7422384650882293
0000062,A1815687851,4541545362105743
0000063,A2075341005,7587189253282864
0000064,A1986446122,8543368751261737
0000065,A1131563251,4443431755012713
0000066,A1549248694,4340507661213048
0000067,A1643743971,7354574750876706
0000068,A1719119596,6870103141415127
0000069,A1829398397,5103778292554124
0000070,A2108585596,6723470772737475
0000071,A1734291674,4394491179239651
0000072,A1720979208,7863013911477494
0000073,A2145801813,3024999389502524
0000074,A1533063503,2585245448927646
0000075,A1685061595,9220242616028382
0000076,A1193514332,3593379127687244
0000077,A1016012402,2091156094617458
0000078,A1403493453,8499665494259412
0000079,A2023684737,6977586715522814
0000080,A1120704647,9892464694377670
0000081,A1759272316,9739254218637184
0000082,A1899440893,2977710151488776
0000083,A1790770321,5377063865804176
0000084,A1555066139,5321085223155083
0000085,A1786797970,1868094457693292
0000086,A1024850154,1267125376498603
0000087,A1323676383,5987397025103990
0000088,A1827040952,9569323556323147
0000089,A1868517837,3594532758948255
0000090,A1955984417,7625805018854271
0000091,A2095906543,9040092231325345
0000092,A2085326417,8225787828459910
0000093,A1386197886,8318569772425325
0000094,A1695370068,5315572482163152
0000095,A1661499682,5772067267700706
0000096,A1911132305,6993647176315710
0000097,A1466211392,8834108267104614
0000098,A1370053406,8408042049050676
0000099,A1883226839,9468473611699307
0000100,A1666994470,1242537293831772
0000101,A2052376634,8704184677512586
0000102,A1598602755,5758053962809929
0000103,A2043314278,7658566936423064
0000104,A1372720312,7165859629485555
0000105,A1051933558,7084713716718245
0000106,A1419989701,2298381347972563
0000107,A2002421832,9665764066008855
0000108,A1926051758,4841411787916966
0000109,A1532300545,6693046816320502
0000110,A1921488901,2585117387573141
0000111,A1213694646,7797642380760324
0000112,A1874555340,7199908566113877
0000113,A1059293867,1493316210140132
0000114,A1062356521,8963263793350800
0000115,A1508623981,1733273826682486
0000116,A1479636164,3495093123233282
0000117,A1412232628,4633284181700922
0000118,A1685006224,7369159515767731
0000119,A1354737135,1990797448627728
0000120,A2014829684,1520024790650070
0000121,A1592731754,1955506760734496
0000122,A1495329458,2247277893682171
0000123,A1493739650,3547972498848051
0000124,A1517698300,3829027218050651
0000125,A1482356617,8373166217025002
0000126,A1798878808,4273989941081379
0000127,A1780728513,1413059841979536
0000128,A2059346952,4994223779518330
0000129,A1074869727,6303385814284827
0000130,A1828643770,5077063562091110
0000131,A1222945228,2505494699732914
0000132,A1120996561,5840134980077570
0000133,A1415851955,1104272294859958
0000134,A1293249816,9889382799471205
0000135,A1183409068,9172806318042569
0000136,A1811529399,2589431389959932
0000137,A2131453666,6516486177168073
0000138,A1096214579,2836113711069648
0000139,A1620540463,6340220769612829
0000140,A1907993180,4297770359438919
0000141,A2012301720,7373263584709087
0000142,A1468644321,3311821723235325
0000143,A1106049624,3834236835330313
0000144,A1343574854,4004174941697177
0000145,A1461816531,4823416715236770
0000146,A1414475306,7870198858214172
0000147,A1783804783,4222194747139545
0000148,A1182639803,7624986585605772
0000149,A1955255107,1993980096693807
0000150,A2130440535,6081952794999140
0000151,A1133423545,6140013768065018
0000152,A1451611817,4360296835161192
0000153,A1188214321,7762828868609846
0000154,A2081276948,6533253487551943
0000155,A1696517724,7179529635123112
0000156,A1452247490,7132492780126968
0000157,A2094353607,2616220384700217
0000158,A1145330806,1974040510755756
0000159,A1156814781,7507244997482769
0000160,A2136051076,6183390323178416
0000161,A1210901343,1965446977522840
0000162,A1386716932,2648269078641610
0000163,A1811298461,1080038114631199
0000164,A1893450881,2774621211073700
0000165,A2014940689,7666851676889411
0000166,A1632232910,5969527414454568
0000167,A1643644755,4945213948614871
0000168,A1211224186,1283038744657324
0000169,A1131309399,9906608251659732
0000170,A1730682684,3312166568530517
0000171,A1352894856,2565880225794384
0000172,A1579242481,7826572555678065
0000173,A1127869241,3429844755312606
0000174,A1592630692,7183873770524546
0000175,A1835059166,2575730098415989
0000176,A1938724723,3179433143071887
0000177,A1304291554,6271177125377175
0000178,A2058594483,4862065322381764
0000179,A1823173466,9997467716824082
0000180,A1419029368,3003224827416606
0000181,A1344014051,1632289677678714
0000182,A1460277127,5239715412087409
0000183,A1959797602,4417289598402790
0000184,A1270440808,4955849835396827
0000185,A1626551085,1400115977613401
0000186,A1868139268,5107106887073085
0000187,A1462070417,3667240577271751
0000188,A1109493463,4344291770409892
0000189,A1550197283,4465022077038148
0000190,A1043510289,8086788478291046
0000191,A1495381232,7716358514266198
0000192,A1355668930,2949962265515841
0000193,A2056269302,3939508873360145
0000194,A2100673725,9834720087621434
0000195,A1442024685,1265499823153273
0000196,A2019734901,4388623944619493
0000197,A1443290303,9647321958903609
0000198,A1251821604,9662418293359842
0000199,A1511839595,2839403372879977
0000200,A1092676161,9294733717746934
0000201,A1319373522,8186669463305009
0000202,A1256421075,8235736172394911
0000203,A1269411676,3124596184501536
0000204,A1154241689,8524449221675980
0000205,A1174837501,4991275138325203
0000206,A2015527066,7391874740787919
0000207,A1602513314,6317299410763981
0000208,A1413331958,6864425784394664
0000209,A1247186309,2910298780539402
0000210,A1139054048,8775114411105588
0000211,A2053592250,8557700846447750
0000212,A1709058343,7127931926480505
0000213,A1310030008,2455735330297635
0000214,A1519661701,6884971822640277
0000215,A1638994837,3267080221228727
0000216,A1474645510,1603805456711430
0000217,A1701681655,6049453654475285
0000218,A1409167911,6001220139774342
0000219,A1089031382,9263060423222437
0000220,A1878594376,1072430563254373
0000221,A2043642872,2022427343494815
0000222,A1935785015,2946169599667482
0000223,A1831648079,5809972878633430
0000224,A1151017745,6533389059361394
0000225,A1133749212,1649825894323275
0000226,A1996063025,8230069745973455
0000227,A1805354232,8215980723064933
0000228,A1303802310,5587171537256608
0000229,A1594527889,6054380535564806
0000230,A1085084733,5863025878648713
0000231,A1041539776,5540608023833047
0000232,A1727291222,5890285158625445
0000233,A1881592072,7672200613209106
0000234,A1147403758,7199939857938325
0000235,A1867982122,5318994195160645
0000236,A2085186642,3160177453513943
0000237,A1451994658,2885924920329907
0000238,A1857412305,1574440628564497
0000239,A1512408070,6802753764352557
0000240,A1079536012,3676564568917889
0000241,A1817297472,6855482199469469
0000242,A2147288792,1858662919927810
0000243,A1452979970,5344702157595405
0000244,A1455140851,1897824115578691
0000245,A1417739492,6160469320160408
0000246,A1702854226,5574997112681773
0000247,A1409217689,6151641138942030
0000248,A1918635412,7122234039771008
0000249,A1743554194,3600908549661673
0000250,A2087158524,2685382090875313
0000251,A2074464010,7290725349956360
0000252,A1437206778,4745856713444577
0000253,A1617969100,7809328144603311
0000254,A1959204985,5958554378154751
0000255,A2095445745,9975323519881007
0000256,A1060577143,4448463354139712
0000257,A1107150598,8506283222277565
0000258,A1658793105,7414224475249233
0000259,A1382186755,9205181297332480
0000260,A1761144533,4166590982577543
0000261,A1768382291,5025979636593201
0000262,A1723170869,5142494146070987
0000263,A1709174604,9847313124146126
0000264,A1085625635,1665775177656689
0000265,A1740489835,5686312611930868
0000266,A1647528578,8613232471469103
0000267,A1253593906,6356759091524451
0000268,A2090389465,8686446141790986
0000269,A1874608832,4260210398765008
0000270,A1825004108,1431535755406754
0000271,A1077928108,8877039346427372
0000272,A1663319090,2496669819325746
0000273,A1529902221,3919844558328293
0000274,A1813566157,4912888546011500
0000275,A1382412774,1168825678405081
0000276,A1441409870,9359232127279118
0000277,A1807297658,7918857915919487
0000278,A1329753356,4980845978098318
0000279,A2033412193,7474417463395334
0000280,A2081212826,8812234218822838
0000281,A1475644450,9091520294157773
0000282,A1748916316,1060373627887357
0000283,A1398168125,1605269341896427
0000284,A2053200290,1922572756933879
0000285,A1167542948,5607998124438704
0000286,A1580281852,6552837485176204
0000287,A1680660589,4397687349009781
0000288,A1911432117,1138876035126777
0000289,A1503455480,8024871748961934
0000290,A1743684833,7097267550222523
0000291,A1585604410,5675933551076101
0000292,A1503687382,3650404058213681
0000293,A1533627408,7125421311084520
0000294,A1644091804,1339155787539627
0000295,A1961115609,8071324369962851
0000296,A1624557600,2272256693728476
0000297,A1684150328,4554014019215800
0000298,A1869781499,4141630954145469
0000299,A1762605595,6582008789526441
0000300,A1752634492,2925210430355017
0000301,A1878786620,7290026345080017
0000302,A2041327434,4667470862466391
0000303,A1074685601,7363535429575940
0000304,A1716858822,1365922494274159
0000305,A1944655526,1286818040585315
0000306,A1656235110,9610319930675516
0000307,A1703330023,9050165867526151
0000308,A1576718356,1466943935432534
0000309,A1395330088,7771128225343026
0000310,A2108349762,7969239870683952
0000311,A1748251644,8282272852002109
0000312,A1901788307,8159230040491293
0000313,A1541352323,9370878544038534
0000314,A1095578506,5312782949087210
0000315,A1817933186,9743459041880916
0000316,A1190503193,9412744238548128
0000317,A1172889504,1834290269716887
0000318,A1750338610,1386707238750445
0000319,A1673558432,3369196568230824
0000320,A1123003644,6066718068963425
0000321,A1473316157,1892714593942954
0000322,A1623363964,9753778130836495
0000323,A1538960965,1336218231275879
0000324,A1001198764,1901054212394413
0000325,A1977107593,5766746447373828
0000326,A1235093148,8108091917234848
0000327,A2065267954,2606508383583838
0000328,A1979120997,8337047671349496
0000329,A1012329900,9983631378955655
0000330,A1168956312,2790063757900334
0000331,A1793809666,4281212843041605
0000332,A1829695813,7037309444200684
0000333,A1575581061,2526054899896807
0000334,A1140814366,7266958890765259
0000335,A1092719853,2346613299332358
0000336,A1730851139,8221394356199606
0000337,A2037537075,4438992352611045
0000338,A1650189434,2609586344602096
0000339,A1961076029,6032846635556667
0000340,A1288062479,5792492297701467
0000341,A1533973081,3902038685461544
0000342,A1808026678,3783355276198413
0000343,A1756737504,2156187287294368
0000344,A1040457013,7329468465820370
0000345,A1093558671,8250719653395493
0000346,A2055921832,7952264869904344
0000347,A1790707248,4364458927622369
0000348,A1290135495,3187504783510712
0000349,A1067437474,2126449226716264
0000350,A2127587670,8969552120044628
0000351,A1110209639,3255079867335624
0000352,A1027990183,6916358243649202
0000353,A1067621409,4389670485632578
0000354,A1294953590,9796966670652070
0000355,A1751031077,8820347171095238
0000356,A1979067145,5365793643588666
0000357,A2035369433,9256100680805816
0000358,A1709557003,6057631824280333
0000359,A1893495774,2912478817145338
0000360,A1024872751,6808625426569060
0000361,A1630888413,7091329731866350
0000362,A1857421978,9452912650743886
0000363,A2128164437,1514269923343613
0000364,A1124263442,8751486245625944
0000365,A1946951522,4888319345674921
0000366,A1598862779,6385081143671575
0000367,A1158295040,2849861467606554
0000368,A1932363593,1723290597134514
0000369,A1372789526,5299169371974478
0000370,A1548947148,3211624050038793
0000371,A1337919453,1335288375810448
0000372,A1753049128,7365179437056369
0000373,A1494510889,9165549593674343
0000374,A1259476046,8830592748515236
0000375,A1258120739,8146031015046144
0000376,A1448536988,8138055521693124
0000377,A1874706529,3310879965273976
0000378,A1809278948,8953535649587640
0000379,A1624263045,7635455063680391
0000380,A1315326407,4801092951537433
0000381,A1876797447,5542945383026457
0000382,A1807124956,8324242684161978
0000383,A1762636702,2520824775231397
0000384,A1109884973,1818457872195314
0000385,A1509957427,9206412040192686
0000386,A1243410840,6288254535772593
0000387,A2046611813,9405893771611136
0000388,A1641078130,7444987999007440
0000389,A1953237826,6303010023817525
0000390,A1334336038,2010101397297243
0000391,A1808032201,2405388453644566
0000392,A1537237949,5158194442876473
0000393,A1707471843,5694023198217883
0000394,A1266269303,7536437666172308
0000395,A1464880387,6998685824924220
0000396,A2059237846,3347653197471234
0000397,A1119783960,3987118623472004
0000398,A1355819352,4264346453951991
0000399,A1891547583,2848805280979573
0000400,A1943729017,8854000230212325
0000401,A1769380816,4359268715107234
0000402,A1866148123,4524257394130692
0000403,A1236518672,9786031950482176
0000404,A2113265848,6360253915942313
0000405,A1351317538,7120420528694560
0000406,A1069344067,2381962714463021
0000407,A1944547603,9168615339553568
0000408,A1208412231,2682785380229825
0000409,A1941258389,4546817981410419
0000410,A2143564027,7221061233093892
0000411,A1661676043,8146976068400227
0000412,A1867058517,6053971041771689
0000413,A1651070421,6852757134744284
0000414,A1265113695,7452791235616211
0000415,A1599101969,2207874176268646
0000416,A1096002191,1035308871439257
0000417,A1322027660,7448746814668425
0000418,A1848073958,9993579596853848
0000419,A2028384499,5399816226764833
0000420,A1317182434,9410891399774393
0000421,A1162181168,2885817335649707
0000422,A1221697464,4541931282132777
0000423,A1478654767,5954915020664495
0000424,A1980752631,5437375255292055
0000425,A1888901220,6328969227158240
0000426,A1050200589,6935723014749112
0000427,A1050504315,7629554745115091
0000428,A1127130509,7443514297723142
0000429,A1234921356,8538034681533964
0000430,A1784705152,8734680016541547
0000431,A1191334682,3618766674418656
0000432,A1318361567,1807325455669739
0000433,A2147056576,3960077476659427
0000434,A2072717036,6998760450803937
0000435,A1647369000,4833455930113715
0000436,A1629539740,9679781546646102
0000437,A1888606343,8672139984640931
0000438,A1153198267,3091622827813366
0000439,A1696896181,1274911054423030
0000440,A1356058616,9896281660038965
0000441,A1007634760,7599570572202348
0000442,A1052566829,7191601428186086
0000443,A1903622949,5474884555216438
0000444,A1783967217,1397085339756455
0000445,A1358138364,1982531016307942
0000446,A2074951888,5919639936100582
0000447,A1862007919,6904909688582530
0000448,A1444813905,9185076910625401
0000449,A1279228871,1299113315271437
0000450,A1594208994,7031058615324143
0000451,A1015895309,7203993940637957
0000452,A1211907882,9353705493991898
0000453,A1874657791,5665181576418543
0000454,A1024576917,7850297052048969
0000455,A2038213417,1820710782750545
0000456,A1572268919,8392603621090918
0000457,A1146692055,7034814853552710
0000458,A1233607881,6031713539913719
0000459,A1783558372,6571095084144934
0000460,A1785094893,8222233068924880
0000461,A1164659437,3426810684438257
0000462,A1508619514,7024179141930913
0000463,A2136244653,2146922026288255
0000464,A1157027318,2570956412544584
0000465,A1633436962,7568179890546125
0000466,A1465796262,5345819883643662
0000467,A1227901152,7701613829065096
0000468,A2073286322,4509986799962437
0000469,A1660076364,8292426021722803
0000470,A1009233905,5516402737826104
0000471,A1125547001,1702464174429483
0000472,A1095542840,8901297854234863
0000473,A1734526109,5153736847965314
0000474,A1520442904,5576597872456816
0000475,A2081218541,9918937854638584
0000476,A1522846164,6864040884635336
0000477,A1501929667,3492287322252752
0000478,A1006391124,5370209215206192
0000479,A1508205021,2873413089168238
0000480,A1949553177,8812086187317530
0000481,A1257649730,9839425866305191
0000482,A2000378170,1246907918684923
0000483,A1358462418,5218837586668818
0000484,A1462961988,7892284811920829
0000485,A1454892464,7705522131250160
0000486,A1594247093,9937785545910487
0000487,A1577870894,2076330624283851
0000488,A1345360274,6135664330241154
0000489,A1198557408,1934569263322547
0000490,A1755086206,6763387670278847
0000491,A1702089466,8313489063416506
0000492,A1645750031,3061152257371718
0000493,A1078432093,1634051196720299
0000494,A1458402644,2289302626452033
0000495,A2121557113,1305633256000024
0000496,A1131730134,6482292276646870
0000497,A1942925968,9325150529356274
0000498,A1551528463,3915196677357554
0000499,A1803667970,9312064247037614
0000500,A1459809926,7288879893123386
0000501,A1578362043,6889180784554497
0000502,A1208969156,8124463595787956
0000503,A1490923125,8503056456443698
0000504,A1814438519,5045665493037343
0000505,A1499667779,1937019297870278
0000506,A2119839712,3912094858300311
0000507,A1819062735,1524142954522768
0000508,A1977600955,8526725874382370
0000509,A1521755384,2180887453982924
0000510,A1969737804,8761410137490879
0000511,A1131757949,7008758643451712
0000512,A1045859980,9059128454001217
0000513,A1406687787,8157654531811695
0000514,A1640194738,7182759879792356
0000515,A1257586772,2007759052794850
0000516,A1335561570,1406756229781774
0000517,A1885950141,7520186263999694
0000518,A2003886303,7182290667647368
0000519,A1492150870,6868669783624548
0000520,A1129692764,7546739669435761
0000521,A1533006569,6244537197416461
0000522,A1241645002,6354433680369067
0000523,A1632207799,4559327528778906
0000524,A1559322568,6593428057544402
0000525,A1337725048,2402906243413829
0000526,A1825300989,6647250475189668
0000527,A1275236962,2460364417741311
0000528,A1308560265,1657167422412239
0000529,A1809501070,3159680198264678
0000530,A1838993416,6499629331904587
0000531,A1769791560,3172540916109148
0000532,A1667783638,1840703419382226
0000533,A1922779501,1125035256533252
0000534,A1795917388,7673329668474286
0000535,A1012786382,3561821319267581
0000536,A1082303797,6224868557793844
0000537,A1308973222,7387020512214192
0000538,A1107543182,8858460560863752
0000539,A1659094846,2760388255873696
0000540,A1956290215,5546163341947535
0000541,A1919317858,8378128880596980
0000542,A2107631784,8349239144208871
0000543,A1528291960,7411268215622027
0000544,A1306398576,9235451665222152
0000545,A1237865912,5916173747870346
0000546,A1500647435,3319828180953460
0000547,A1040093823,6703589269348114
0000548,A1515995781,5157080391126086
0000549,A1251048961,6194178843140802
0000550,A1576870579,1068148390803151
0000551,A1682224030,9737167055788717
0000552,A1185965248,9032139292952007
0000553,A1992921489,1412854852125820
0000554,A1829486724,6502003788136002
0000555,A1537683011,1020193581515688
0000556,A1471641785,8977846239422868
0000557,A1165663561,2242742494405599
0000558,A1827721216,8185956388425740
0000559,A1798131238,4163355442210485
0000560,A2013239460,7718392331550603
0000561,A1013617681,9618985673431198
0000562,A1188937964,7052307394982845
0000563,A1120274575,1407069868840343
0000564,A1572700656,6138971929069733
0000565,A1367547169,3808594812015855
0000566,A1907941487,9829901551368867
0000567,A1122530835,8269835472163325
0000568,A1047402993,4225199088254057
0000569,A2101553090,8858829225512106
0000570,A1731367532,5198629658687838
0000571,A1646945197,9840640936944624
0000572,A1262330289,7399064068830179
0000573,A1187483580,3735294239678861
0000574,A1975779838,3755860485707764
0000575,A1772416181,6807506661037704
0000576,A1833020430,4609259653773615
0000577,A1974212162,9138730743334537
0000578,A2030715935,7986049494485567
0000579,A1629678815,9735013263937866
0000580,A1958494882,2842132281934779
0000581,A1885739308,5207045762084400
0000582,A1129442593,9417681462983308
0000583,A2047080215,1825242164095307
0000584,A1423111334,6650730770946073
0000585,A1149045448,3307755555139749
0000586,A1974794503,4313540974176922
0000587,A1347003563,3106168552495696
0000588,A1787154541,8095309060598987
0000589,A1195751793,6989990428545915
0000590,A1413847068,7118793976640506
0000591,A1062376092,3952766318931619
0000592,A1608728366,1706210285488146
0000593,A1301193596,6043001973898250
0000594,A2122677547,8321075737840174
0000595,A2015883942,5322420934880000
0000596,A1795441582,7915161156782939
0000597,A1501652034,7293171664214723
0000598,A2016937544,5796078697359636
0000599,A1375342965,1773224871117366
0000600,A1018938748,9479920334276910
0000601,A1439070514,5966605247064481
0000602,A1987534641,3829336336979644
0000603,A1663174843,6394592326015452
0000604,A1760547093,6283219682705389
0000605,A1003553018,3916195747850926
0000606,A1186855247,8206018237728880
0000607,A1327912416,5296483590748292
0000608,A1787466714,9311323698256222
0000609,A1158426480,2513136881566875
0000610,A1147540667,2830499799329853
0000611,A1183224846,3213795065630814
0000612,A1505164897,6361700133544705
0000613,A2029875406,1222350624930846
0000614,A2120713572,2037400925205687
0000615,A1392279868,7969421520099520
0000616,A1911731003,8948227128798828
0000617,A1631227060,2478356035672064
0000618,A1425697132,7576642551834367
0000619,A1427483773,7267441766552814
0000620,A1494798244,7502901723161994
0000621,A1579004538,5044247245640925
0000622,A1212738350,5528082140694245
0000623,A1217697731,6065733075544955
0000624,A1182401730,3387982979836676
0000625,A1163172600,3781863042590826
0000626,A1835656311,4099548823419021
0000627,A1996483757,4091644935649095
0000628,A1672783015,6206327113521437
0000629,A1811625243,8098229356371524
0000630,A1175902197,1609272390942582
0000631,A1726636249,5196743337194488
0000632,A1022552540,5248758869931536
0000633,A1886938075,2408188834413393
0000634,A1884904639,6443475738824940
0000635,A1551479026,4520248790903730
0000636,A1584392868,3059045247947794
0000637,A1117853472,6798601041678929
0000638,A1549948017,6065155544112567
0000639,A1988275377,9264471988379199
0000640,A1409517646,5302780974298526
0000641,A1947601190,1327812754564606
0000642,A1951166689,5731433081912394
0000643,A1543680159,2102918185331041
0000644,A1798894553,9597784226913599
0000645,A2007307400,1875142876481691
0000646,A2106992204,1951417326860783
0000647,A1160873453,2782240060391841
0000648,A1107401028,1455290548106712
0000649,A1628102634,2385809791315877
0000650,A2059279395,2425595259842867
0000651,A1912279289,4744527271054078
0000652,A1638955453,9508255261156629
0000653,A1946805761,6865150087888156
0000654,A1114637902,1319319919561271
0000655,A1670854031,4658425172008167
0000656,A1188255270,6412816451900127
0000657,A1734783186,9068874283130545
0000658,A1784348644,2950178335205408
0000659,A1177307705,7589899098725220
0000660,A1082336982,3533871843456232
0000661,A2027590946,5956026796773227
0000662,A1324969591,9110695158532569
0000663,A1584700564,3889076023668874
0000664,A1195391759,2256382150862672
0000665,A1369395722,1362636924629201
0000666,A1520582356,5580697767968653
0000667,A1842744436,4449832359729932
0000668,A1502543659,3545104533567209
0000669,A1850569977,2003391827943489
0000670,A1457064033,4620818229183562
0000671,A1668490929,7780243843312782
0000672,A1566498952,2839481953632930
0000673,A1163045221,3712857755477298
0000674,A1171811419,6890580735237403
0000675,A1359943345,5230581278124921
0000676,A1411409528,4254579025875413
0000677,A1134844711,7307611330092013
0000678,A1392140651,4035934990840393
0000679,A1939996928,5118076534109221
0000680,A1805865261,5877585281073033
0000681,A1390005216,2001085092682577
0000682,A2077172382,6289365344761382
0000683,A1096259723,8454070185231549
0000684,A1777691367,3804252728678399
0000685,A1159262502,6262294675592515
0000686,A1312275297,2118449783145232
0000687,A1579380905,4444444777488127
0000688,A1026367595,3527246373132067
0000689,A2135901061,3167484047443088
0000690,A1541515236,7070562277214052
0000691,A1248923743,4958202378352724
0000692,A1821142681,8288651658894956
0000693,A1415068116,4374594089412158
0000694,A1425379067,3471798358005087
0000695,A1390703692,4957993545033586
0000696,A1018023315,2826521277736401
0000697,A1194407680,5923377039996268
0000698,A1522283420,2776373124331404
0000699,A1045706899,3852100384738386
0000700,A1249265449,9539376241218813
0000701,A2113292371,6507750023835078
0000702,A1102221632,5147256188460503
0000703,A1514145024,4808708879736429
0000704,A1212890836,9193770277438556
0000705,A2067581478,2207874719726463
0000706,A1248405214,7142421185692527
0000707,A1358250535,9767793413409627
0000708,A1761249410,3722450921471852
0000709,A1474519990,7855971931818291
0000710,A1688762014,7081935854365512
0000711,A1817984611,2300431548352176
0000712,A1614456398,4604524669640482
0000713,A1435661408,3262636698107373
0000714,A1593798335,6108793880178123
0000715,A2121983655,9855031967296066
0000716,A1670101268,5723091415684984
0000717,A1058712166,8410186567096790
0000718,A2135318526,9145202797715826
0000719,A1354562069,3761160537852990
0000720,A1030130703,7079971272912841
0000721,A1722177921,8630435377267729
0000722,A1323474585,5254098778933386
0000723,A1370846062,4553972876033500
0000724,A1511088974,8531302948797845
0000725,A1989196609,8152539846589996
0000726,A1296197448,7170671438674189
0000727,A1563233238,8466007231328804
0000728,A1205696734,5941637886717492
0000729,A1985162158,7511071031552287
0000730,A1518106067,3038415918433640
0000731,A1405284739,4180678261826653
0000732,A1321225713,8993086874783583
0000733,A1037106995,7262905456009331
0000734,A1999109935,3347133021691186
0000735,A1378051021,6451895998788835
0000736,A1233308228,2146070519926628
0000737,A1651845059,1457768265904890
0000738,A2137013512,5818744086139638
0000739,A1530188919,5050890536887975
0000740,A2027000880,4810219577430276
0000741,A1604100405,8845003025155568
0000742,A1734387760,1829848953506246
0000743,A1981368719,6239062091594529
0000744,A1788020527,3032110999077658
0000745,A1926463739,6581310461188741
0000746,A1122877871,8648182394897417
0000747,A1993576219,6896977563650004
0000748,A1148225042,8951051625806476
0000749,A1542233823,4260868983619341
0000750,A1837497496,8361049449421963
0000751,A1483162119,2236015734526858
0000752,A1874370480,4098158045021299
0000753,A2103313405,7205162156220470
0000754,A1577344778,4132775259070084
0000755,A1233730925,8931941884256572
0000756,A1724536873,2651394292374334
0000757,A1318119405,4194641964027081
0000758,A1407873798,1262157979132419
0000759,A1175695970,4575543998939512
0000760,A2139184689,2507111175689798
0000761,A1763547154,2128417878780124
0000762,A1537692560,3391080317960951
0000763,A1823010982,1408580434831523
0000764,A1206131951,2310199924430201
0000765,A1493124053,4264606837642022
0000766,A1058393148,9329355910191098
0000767,A1402255541,8570151626094746
0000768,A2035859077,5073611651664075
0000769,A1961271046,1590505019738577
0000770,A1578770851,6479878195226140
0000771,A1460036222,9718652456980509
0000772,A1899253241,8539568330043574
0000773,A1896184213,7615953165408614
0000774,A1845257121,9227642922428138
0000775,A1733660389,1878345428844420
0000776,A1504853022,9331360969975510
0000777,A1528995017,1920035252461878
0000778,A2131526159,6779918739369593
0000779,A1632327908,7864189670548060
0000780,A1345724707,6677768328005753
0000781,A2124819239,2915636149287021
0000782,A1377463253,8008565425915473
0000783,A1732473127,6814627557250384
0000784,A1096878841,3428996027134028
0000785,A1443470351,6525428293425086
0000786,A1046748587,3370219541952661
0000787,A1290946458,4579800122591440
0000788,A1506971879,1390404255598428
0000789,A1545236566,4733337139387337
0000790,A1224535983,3093561816753786
0000791,A1631058800,5317390919381847
0000792,A1476879684,7807324673120068
0000793,A1805037763,3793742838697798
0000794,A1037343537,8214718735167333
0000795,A1162243050,4389194784910391
0000796,A1322925495,6396592912544905
0000797,A1458285928,5592844354939701
0000798,A1364586143,1429639430979682
0000799,A1069031510,5845930625252318
0000800,A2067014356,8684112042752283
0000801,A1975719829,4983877447210657
0000802,A1516324270,5810293581116049
0000803,A1098838900,9737962187181035
0000804,A1258885298,4052549195764766
0000805,A1041498912,2989070863650813
0000806,A1987143290,3703794070012094
0000807,A1773761448,2743641083367440
0000808,A1342236131,8166640875007173
0000809,A1660620157,3090011348877514
0000810,A1999613361,4198854729613939
0000811,A1610305111,7945252251096306
0000812,A2095789704,2640081042308412
0000813,A1993933453,7222852785789011
0000814,A1048377162,2757566966586307
0000815,A1195886545,2563948725402952
0000816,A1626971483,3534053584405685
0000817,A1730932653,2799020631421366
0000818,A1576804636,3300055569404709
0000819,A1629647764,5968570368172364
0000820,A1793083114,8868251337202821
0000821,A1411035468,2935001565391074
